Parser,Training,WSJ 23 F1
Vinyals & Kaiser el al. (2014) [37],"WSJ only, discriminative",88.3
Petrov et al. (2006) [29],"WSJ only, discriminative",90.4
Zhu et al. (2013) [40],"WSJ only, discriminative",90.4
Dyer et al. (2016) [8],"WSJ only, discriminative",91.7
Transformer (4 layers),"WSJ only, discriminative",91.3
Zhu et al. (2013) [40],semi-supervised,91.3
Huang & Harper (2009) [14],semi-supervised,91.3
McClosky et al. (2006) [26],semi-supervised,92.1
Vinyals & Kaiser el al. (2014) [37],semi-supervised,92.1
Transformer (4 layers),semi-supervised,92.7
Luong et al. (2015) [23],multi-task,93.0
Dyer et al. (2016) [8],generative,93.3
